index,title,link,ww_points,image,calories,summary,Key1,Key2,Key3,Key4,Key5,Key6,Key7,Key8,Key9,Key10,Key11,Key12,Key13
11,Pumpkin Spice Latte,https://www.skinnytaste.com/skinny-pumpkin-spiced-latte/,7,https://www.skinnytaste.com/wp-content/uploads/2010/10/Pumpkin-Spice-Latte-6-260x390.jpg,115,"Embrace all the cozy fall vibes with a homemade Pumpkin Spice Latte! This easy recipe tastes just like the original, but for a fraction of the cost.",DF,GF,,,,,,,,,V,,
12,Homemade Hamburger Helper,https://www.skinnytaste.com/homemade-hamburger-helper/,12,https://www.skinnytaste.com/wp-content/uploads/2024/09/Homemade-Hamburger-Helper-7-260x390.jpg,453,"This one-skillet, creamy Homemade Hamburger Helper is made with ground beef, macaroni and cheese – real ingredients you can feel good about feeding your family for dinner!",DF,GF,,,,HP,KF,,,Q,,,
13,Fried Brown Rice,https://www.skinnytaste.com/fried-brown-rice/,6,https://www.skinnytaste.com/wp-content/uploads/2024/08/Brown-Fried-Rice-9-260x390.jpg,276,Fried Brown Rice is a healthy twist on classic fried rice with some extra hidden veggies to bulk it up. Just add your favorite protein to make it a meal!,DF,GF,,,HF,,,,,Q,V,,
14,16+ Easy Sheet Pan Dinners,https://www.skinnytaste.com/easy-sheet-pan-dinners/, ,https://www.skinnytaste.com/wp-content/uploads/2024/08/sheet-pan-dinners-260x390.png, ,"My favorite sheet pan dinners make it easy to have a delicious home-cooked meal on the table, every night of the week. These healthy sheet pan recipes are totally fuss-free. Line your pans for speedy cleanup!",,GF,,,,,,LC,MP,,,,
15,Asian Grilled Chicken,https://www.skinnytaste.com/asian-grilled-chicken-33-pts_3510/,4,https://www.skinnytaste.com/wp-content/uploads/2008/05/Asian-Grilled-Chicken-7-260x390.jpg,288.5,"This Asian Grilled Chicken recipe is the perfect excuse to grill or use your indoor grill pan, an easy high-protein dinner idea!",DF,GF,,,,,KF,LC,,,,,
16,Sweet Potato Salad,https://www.skinnytaste.com/sweet-potato-salad/,8,https://www.skinnytaste.com/wp-content/uploads/2024/08/Sweet-Potato-Avocado-Salad-16-260x390.jpg,290,"This healthy Sweet Potato Salad with avocado combines sweet, creamy, warm, and cold elements and can be enjoyed warm or cold. It’s a great vegetarian meal or side dish.",DF,GF,,,HF,,,,MP,,V,W,
17,Ratatouille,https://www.skinnytaste.com/ratatouille/,2,https://www.skinnytaste.com/wp-content/uploads/2024/08/Ratatouille-6-1-260x390.jpg,115,"Ratatouille is the perfect summer side dish for your favorite roasted chicken, grilled meats, or fish! It adds a burst of color and flavor to every meal.",DF,GF,,,,,,,MP,,V,,
18,36+ Best Air Fryer Chicken Recipes,https://www.skinnytaste.com/best-air-fryer-chicken-recipes/, ,https://www.skinnytaste.com/wp-content/uploads/2023/09/air-fryer-chicken-recipes-260x390.png, ,"From classics like air fryer chicken tenders and air fryer chicken nuggets to healthier versions of dishes like chicken parmesan, you’ll find so many recipes to love in this round-up of the best air fryer chicken recipes.",,,AF,,,,,,,,,,
19,Pretzel Crusted Chicken Tenders,https://www.skinnytaste.com/pretzel-crusted-chicken-tenders/,4,https://www.skinnytaste.com/wp-content/uploads/2024/08/Pretzel-Chicken-Fingers-with-Honey-Mustard-13-260x390.jpg,267,"Craving something crispy, kid-friendly, and absolutely delicious? Make these easy Pretzel Crusted Chicken Tenders with honey mustard! Baked or Air Fryer!",DF,GF,AF,FM,,HP,KF,,,,,,
20,Lemon Vinaigrette,https://www.skinnytaste.com/lemon-vinaigrette/,5,https://www.skinnytaste.com/wp-content/uploads/2024/07/Lemon-Viniagrette-5-260x390.jpg,123,"This is my go-to Lemon Vinaigrette recipe. I love it over any salad, from simple green salads, Cobb salad and even over roasted veggies. It’s bright, healthy, and can be made ahead.",DF,GF,,,,,,LC,MP,Q,V,,
1,Slow Cooker Beef Stew,https://www.skinnytaste.com/slow-cooker-beef-stew/,7,https://www.skinnytaste.com/wp-content/uploads/2024/07/Slow-Cooker-Beef-Stew-7-260x390.jpg,356,Slow Cooker Beef Stew is the ultimate comfort food! It’s perfect for those crisp fall evenings or chilly winter days when you crave something hearty and satisfying.,DF,GF,,,,HP,KF,,MP,,,,SC
2,Deviled Egg Salad,https://www.skinnytaste.com/deviled-egg-salad/,3,https://www.skinnytaste.com/wp-content/uploads/2024/08/Lazy-Deviled-Egg-Salad-13-260x390.jpg,215,"This lazy Deviled Egg Salad takes a classic appetizer and turns it into a quick lunch! It has the same ingredients but no piping or filling. Simply mix it all together and serve it with a spoon, on toast or a rice cake.",,GF,AF,,,HP,,LC,MP,,V,,
3,Shrimp and Rice (Arroz Con Camarones),https://www.skinnytaste.com/shrimp-and-rice-arroz-con-camarones/,9,https://www.skinnytaste.com/wp-content/uploads/2024/08/Arroz-Con-Camarones-12-260x390.jpg,433,Costa Rican Inspired Shrimp and Rice (Arroz Con Camarones) is a traditional Costa Rican recipe that’s so easy and flavorful!,DF,GF,,,,HP,,,,,,,
4,Bruschetta Pasta Salad,https://www.skinnytaste.com/bruschetta-pasta-salad/,10,https://www.skinnytaste.com/wp-content/uploads/2024/07/Bruschetta-Pasta-Salad-8-260x390.jpg,364,"Serve this delicious Bruschetta Pasta Salad at your next BBQ or summer party. It’s the perfect light summer dish loaded with in-season plum tomatoes, mozzarella, basil, and a drizzle of balsamic glaze.",,,,,,,,,MP,Q,V,,
5,Watermelon Feta Salad,https://www.skinnytaste.com/watermelon-feta-salad/,2,https://www.skinnytaste.com/wp-content/uploads/2020/07/Watermelon-Feta-Salad-7-260x390.jpg,85,"This easy Watermelon Feta Salad, made with only four ingredients, is a summer staple at your next summer BBQ!",,GF,,,,,,,,Q,V,,
6,Coconut Popsicles,https://www.skinnytaste.com/coconut-cream-pops/,5,https://www.skinnytaste.com/wp-content/uploads/2009/06/Coconut-Pops_19-260x390.jpg,106,"These homemade coconut popsicles are rich, creamy, and super simple to make! They’re the perfect summertime refresher.",,GF,,,,,KF,,,,,,
7,Sheet Pan Shrimp with Corn and Tomatoes,https://www.skinnytaste.com/sheet-pan-shrimp-with-corn-and-tomatoes/,3,https://www.skinnytaste.com/wp-content/uploads/2024/07/Old-Bay-Sheen-Pan-Shrimp-with-Corn-and-Tomatoes-5-260x390.jpg,295,"This Sheet Pan Shrimp with Corn and Tomatoes is the perfect one-pan summer dinner, with easy cleanup!",DF,GF,,,,HP,,,,Q,,,
8,Strawberry Yogurt Bark,https://www.skinnytaste.com/strawberry-yogurt-bark/,2,https://www.skinnytaste.com/wp-content/uploads/2024/07/Strawberry-Yogurt-Bark-10-260x390.jpg,60,"If you’re looking for a healthy snack with some added protein for the kids this summer, you’ll love this strawberry yogurt bark!",DF,GF,,,,,KF,,,,V,,
9,Broccoli Cauliflower Salad,https://www.skinnytaste.com/broccoli-and-cauliflower-salad-with/,2,https://www.skinnytaste.com/wp-content/uploads/2008/12/Broccoli-and-Cauliflower-Salad-with-Capers-and-Lemon-Vinaigrette-5-260x390.jpg,97,"This Broccoli Cauliflower Salad recipe is quick and easy, ideal for warmer weather or if you’re looking for a different way to prepare broccoli.",DF,GF,,,,,,LC,MP,Q,V,,
10,Juicy Grilled Pork Chops,https://www.skinnytaste.com/juicy-grilled-pork-chops/,5,https://www.skinnytaste.com/wp-content/uploads/2024/07/Grilled-Pork-Chops-13-260x390.jpg,272,Juicy Grilled Pork Chops are brined in a saltwater solution and then seasoned with a flavorful dry rub to create the most delicious pork chops!,DF,GF,,,,HP,KF,LC,,,,,
11,Grilled Eggplant with Feta,https://www.skinnytaste.com/grilled-eggplant-with-feta/,3,https://www.skinnytaste.com/wp-content/uploads/2024/07/Grilled-Eggplant-with-Feta-7-260x390.jpg,106,"If you need an easy side dish this summer, this grilled eggplant with feta cheese is great with anything you’re grilling.",,GF,,,,,,LC,,Q,V,,
12,"20+ Amazon Prime Day Deals I Love on Air Fryers, My Cookbooks, and More",https://www.skinnytaste.com/prime-day-deals-2024/, ,https://www.skinnytaste.com/wp-content/uploads/2024/07/Amazon-Prime-Day-Sale-260x390.png, ,"Although Amazon has a few big sales throughout the year, its summer Prime Day sale is still its biggest one, and it’s happening now! This is the best time to get a new kitchen gadget you’ve been eyeing, stock up on my cookbooks, and grab your favorite skincare products while they’re at a great price. I’ve already shopped the sale, and found some great deals from KitchenAid, Vitamix, and more! Plus, I’ll be updating this post as new deals pop up!",,,,,,,,,,,,,
13,Korean Chicken,https://www.skinnytaste.com/korean-grilled-chicken-breast/,2,https://www.skinnytaste.com/wp-content/uploads/2024/06/Korean-Grilled-Chicken-Breast-10-260x390.jpg,180,"These grilled Korean Chicken Breasts are juicy, sweet, and spicy! I grill them all year, using my indoor grill pan when it’s cold.",DF,GF,,,,HP,,,,Q,,,
14,Blueberry Zucchini Bread,https://www.skinnytaste.com/blueberry-zucchini-bread/,4,https://www.skinnytaste.com/wp-content/uploads/2024/07/Blueberry-Zucchini-Bread-10-260x390.jpg,111,"This moist and delicious Blueberry Zucchini Bread is low-fat, lightly sweetened, and loaded with summer zucchini and blueberries. Perfect for breakfast or as a snack!",,,,FM,,,KF,,,,V,,
15,15 Perfect Pasta Salad Recipes,https://www.skinnytaste.com/pasta-salad-recipes/, ,https://www.skinnytaste.com/wp-content/uploads/2024/07/pasta-salad-recipes-260x390.png, ,"These pasta salad recipes are fantastic for parties and potlucks, but equally good for weekday lunches! Grab the recipes, plus tips for making your pasta salads perfect.",,,,,,,KF,,,,,,
16,Green Goddess Dressing,https://www.skinnytaste.com/basil-green-goddess-dressing/,1,https://www.skinnytaste.com/wp-content/uploads/2009/09/Green-Goddess-Dressing_08-260x390.jpg,60.3,Creamy and herbaceous basil green goddess dressing is the perfect way to give your next salad an upgrade! Fresh basil makes this dressing a standout.,,GF,,,,,,LC,,,,,
17,Watermelon Cucumber Granita,https://www.skinnytaste.com/watermelon-cucumber-granita/,0,https://www.skinnytaste.com/wp-content/uploads/2024/07/Watermelon-Cucumber-Granita-5-260x390.jpg,38,"Cool off with this refreshing 4-ingredient, Watermelon Cucumber Granita. Easy to make, and no special equipment needed!",DF,GF,,,,,,,,,V,,
18,High Protein Whipped Cottage Cheese Bowls,https://www.skinnytaste.com/high-protein-whipped-cottage-cheese-bowls/,6,https://www.skinnytaste.com/wp-content/uploads/2024/06/High-Protein-Cottage-Cheese-Pudding-7-260x390.jpg,328,"These quick and easy, high-protein Whipped Cottage Cheese Bowls, topped with fruit and almonds, are perfect for breakfast or as a snack.",,GF,,,,HP,,,MP,Q,V,,
19,Hot Crab Dip,https://www.skinnytaste.com/hot-crab-dip/,1,https://www.skinnytaste.com/wp-content/uploads/2024/06/Crab-and-Corn-Dip-7-260x390.jpg,124,This hot crab dip with sweet summer corn and a butter cracker topping makes a delicious appetizer if you’re entertaining.,,,,,,,,,,,,,
20,Virgin Mojito (Nojito),https://www.skinnytaste.com/nojito/,0,https://www.skinnytaste.com/wp-content/uploads/2010/06/Nojito-6-260x390.jpg,13,"This sugar-free, virgin Mojito mocktail is refreshing when you want an adult cocktail, without the alcohol. Filled with lime, fresh mint and lemon-lime seltzer, they’re perfectly enjoyable to drink.",,GF,,,,,,LC,,,V,,
1,20 Must-Have Kitchen Tools for Healthy Eating,https://www.skinnytaste.com/kitchen-tools-for-healthy-eating/, ,https://www.skinnytaste.com/wp-content/uploads/2023/04/14.-ninja-blender-260x390.jpg, ,"When it comes to healthy cooking, the first step is to find delicious recipes that will make you excited to spend time in the kitchen without depriving you of any flavor. I also find that the best kitchen tools for healthy eating make the cooking process more enjoyable and efficient. That’s why I’m bringing you my favorite kitchen tools and appliances to help bring my healthy recipes to life! ",,,,,,,,,,,,,
2,Flounder Piccata,https://www.skinnytaste.com/flounder-piccata/,5,https://www.skinnytaste.com/wp-content/uploads/2011/12/Flounder-Piccata-5-260x390.jpg,280,Flounder piccata is breaded and lightly pan fried served in a lemon butter sauce with capers and parsley. A delicious way to prepare fish!,,,,,,,,,,Q,,,
3,Cucumber Soup,https://www.skinnytaste.com/cucumber-soup/,3,https://www.skinnytaste.com/wp-content/uploads/2024/06/Cucumber-Soup-8-260x390.jpg,169,"A refreshing and light cold Cucumber Soup made with Greek yogurt and fresh herbs. It’s easy to make, no cooking or heating the kitchen, making it perfect for a hot summer day.",,GF,,,,,,LC,,,V,,
4,Soy-Marinated Beef and Broccoli Skewers,https://www.skinnytaste.com/soy-marinated-beef-and-broccoli-skewers/,5,https://www.skinnytaste.com/wp-content/uploads/2024/06/Asian-Beef-and-Broccoli-Skewers-13-260x390.jpg,199,"If you love beef and broccoli stir fry, you’ll love these soy-marinated Beef and Broccoli Skewers! A delicious summer dinner idea!",DF,GF,,,,HP,KF,,,,,,
5,Lobster Rolls,https://www.skinnytaste.com/lobster-rolls/,5,https://www.skinnytaste.com/wp-content/uploads/2022/07/Lobster-Rolls-9-260x390.jpg,223,"This Lobster Roll recipe screams summer to me! Made with chunks of chilled lobster tossed with celery, shallots, chives, light mayonnaise and a little lemon zest served on a hot dog bun – delicious!",,,,,,HP,KF,,,Q,,,
6,Shrimp Fajitas,https://www.skinnytaste.com/shrimp-fajitas/,4,https://www.skinnytaste.com/wp-content/uploads/2010/05/Shrimp-Fajitas-11-260x390.jpg,357,"These shrimp fajitas, seasoned with Chipotle chile powder, cilantro and lime make and easy, 30-minute dinner idea!",,,,,HF,HP,,,,Q,,,
7,Berry Buckle,https://www.skinnytaste.com/berry-buckle/,5,https://www.skinnytaste.com/wp-content/uploads/2024/06/Berry-Buckle-8-260x390.jpg,145,"This Mixed Berry Buckle, a rustic cake loaded with juicy, seasonal blueberries, raspberries, and blackberries, is the perfect summer dessert.",,,,,,,KF,,,,,,
8,"Orzo with Bacon, Leeks, Peas, Spinach and Lemon",https://www.skinnytaste.com/orzo-with-bacon-leeks-peas-spinach-and-lemon/,7,https://www.skinnytaste.com/wp-content/uploads/2024/06/Orzo-with-Bacon-Peas-Spinach-and-Lemon-8-260x390.jpg,314,"This easy Orzo with Bacon, Leeks, Peas, Spinach and Lemon is a one-pot meal that’s sure to become a regular on your dinner rotation!",,,,,,,,,,Q,,,
9,Grilled Shrimp Tacos with Peach Salsa,https://www.skinnytaste.com/grilled-shrimp-tacos-with-peach-salsa/,6,https://www.skinnytaste.com/wp-content/uploads/2024/06/Grilled-Shrimp-Tacos-10-260x390.jpg,296,These easy grilled shrimp tacos with sweet and juicy peach salsa are the perfect way to bring summer to your dinner table!,DF,GF,,,,HP,,,,,,,
10,Air Fryer Boneless Chicken Thighs,https://www.skinnytaste.com/air-fryer-boneless-chicken-thighs/,6,https://www.skinnytaste.com/wp-content/uploads/2024/06/Air-Fryer-Chicken-Thighs-7-260x390.jpg,384,The secret to making the juiciest boneless chicken thighs in the air fryer is marinating them with yogurt. They come out delicious!,,GF,AF,,,HP,KF,LC,MP,,,,
11,30 Awesome Last Minute Father’s Day Gifts You Can Still Get,https://www.skinnytaste.com/fathers-day-gifts-2024/, ,https://www.skinnytaste.com/wp-content/uploads/2023/05/13.-Ooni-Pizza-Oven-260x390.jpg, ,"I’ve rounded up some of the best Father’s Day gifts for the men in your life based on things I would personally give my husband, Tommy. No matter what the guy in your life is into, whether it’s cooking, working out, or hanging with the family, there’s something for them here.",,,,,,,,,,,,,
12,21 Summer Dinner Ideas,https://www.skinnytaste.com/summer-dinner-ideas/, ,https://www.skinnytaste.com/wp-content/uploads/2024/06/summer-dinner-ideas-260x390.png, ,"These summer dinner ideas are brimming with colorful fruits and vegetables and they come together in a snap. If you’re looking for easy recipes to add to your summertime rotation, look no further!",,,,,,,,,,,,,
13,Pan Bagnat,https://www.skinnytaste.com/pan-bagnat/,6,https://www.skinnytaste.com/wp-content/uploads/2024/06/pan-bagnet-11-260x390.jpg,308,"Pan Bagnat is a protein-packed tuna sandwich from Nice, France. It’s like a handheld Salade Niçoise only without the potatoes and perfect for picnics or a make-ahead lunch!",DF,,,,,HP,,,MP,Q,,,
14,Grilled Skirt Steak and Elote Tacos,https://www.skinnytaste.com/skirt-steak-tacos/,10,https://www.skinnytaste.com/wp-content/uploads/2024/06/skirt-steak-tacos-9-260x390.jpg,418,Grilled skirt steak tacos topped with Mexican street corn is a match made in heaven for an easy summer dinner idea!,,GF,,,,HP,KF,,,,,,
15,Grilled Shrimp,https://www.skinnytaste.com/grilled-shrimp/,3,https://www.skinnytaste.com/wp-content/uploads/2024/06/Garlic-Butter-Grilled-Shrimp-11-260x390.jpg,202,This super easy grilled shrimp recipe with garlic butter is a family favorite and a win-win for busy weeknights!,DF,GF,,,,HP,KF,LC,,Q,,,
16,Filipino BBQ Pork Skewers,https://www.skinnytaste.com/filipino-bbq-skewers-3-ww-pts/,2,https://www.skinnytaste.com/wp-content/uploads/2008/08/Filipino-BBQ-Pork-Skewers-4-260x390.jpg,201,The unique ingredient that makes these Filipino BBQ Pork Skewers so good is a can of 7-Up soda! They’re perfect for summer grilling!,DF,GF,,,,HP,,LC,,,,,
17,Grape Tomato Sauce,https://www.skinnytaste.com/easy-garden-tomato-sauce/,1,https://www.skinnytaste.com/wp-content/uploads/2012/07/Easy-Garden-Tomato-Sauce-7-260x390.jpg,73,"When grape tomatoes are overflowing in your garden, whip up a quick, easy tomato sauce! Grape or cherry tomatoes sauteed with olive oil, garlic, and fresh herbs are perfect over pasta, grilled chicken, or fish.",DF,GF,,,,,KF,LC,,Q,V,,
18,Korean Beef Recipe,https://www.skinnytaste.com/korean-beef-rice-bowls/,13,https://www.skinnytaste.com/wp-content/uploads/2016/03/Korean-Beef-Rice-Bowls-6-260x390.jpg,394,"An easy and delicious Korean beef recipe is made with ground beef, served over rice with cucumbers and gochujang sauce.",DF,GF,,,,HP,KF,,,Q,,,
19,Gallo Pinto,https://www.skinnytaste.com/gallo-pinto/,4,https://www.skinnytaste.com/wp-content/uploads/2024/05/Gallo-Pinto-14-260x390.jpg,266,"Gallo Pinto is a Central American breakfast typically served with fried eggs, sour cream, and plantains. It’s made with leftover rice and black beans, so it’s quick to prepare.",DF,GF,,,HF,,KF,,,Q,V,,
20,My Favorite Memorial Day Sales You Can Still Get,https://www.skinnytaste.com/memorial-day-sales-2024/, ,https://www.skinnytaste.com/wp-content/uploads/2024/05/Le-Creuset-Enameled-Cast-Iron-Skinny-Grill-260x390.jpg, ,"Memorial Day signals the start of summer, grilling, and spending more time outside with our families. This long weekend also brings plenty of deals on kitchen products, summer fashion, and appliances. I’ve looked at some of the best Memorial Day sales from Amazon, Williams Sonoma, Walmart, and more and picked out some of my favorite cooking items that are on sale! I’m also currently shopping the Nordstrom Half Yearly Sale and saw discounts on some of my favorite sneakers and bags for summer! ",,,,,,,,,,,,,
1,Juicy Lucy (Stuffed Turkey Cheeseburger),https://www.skinnytaste.com/turkey-burgers-stuffed-with-cheese/,9,https://www.skinnytaste.com/wp-content/uploads/2019/06/Inside-Out-Turkey-Cheeseburgers-7-260x390.jpg,309,"A juicy, stuffed Turkey Cheeseburger (known as a Juicy Lucy) is delicious and easy! Instead of topping your turkey burger with cheese, the cheese is stuffed in the center so it stays melted and gooey.",,,,,HF,,KF,,,Q,,,
2,Salad with Berries and Pecans,https://www.skinnytaste.com/baby-greens-with-blackberries-pecans/,4,https://www.skinnytaste.com/wp-content/uploads/2008/03/Baby-Greens-with-Blackberries-and-Pecans-12-260x390.jpg,155,"This healthy summer side salad with berries is loaded with sweet, juicy blackberries and raspberries adding a burst of sweetness in every bite. Complimented with a light vinaigrettePecans add the perfect crunch.",DF,GF,,,,,,LC,,Q,V,,
3,Grilled Chicken Caprese,https://www.skinnytaste.com/grilled-chicken-caprese/,4,https://www.skinnytaste.com/wp-content/uploads/2024/05/Grilled-Chicken-Caprese-9-260x390.jpg,284,"This 15-minute, high-protein, Grilled Chicken Caprese salad is made with grilled chicken breast cutlets, topped with fresh mozzarella, tomatoes, basil and balsamic glaze, served over a bed of arugula.",,GF,,,,HP,,LC,,Q,,,
4,Chicken Tikka Masala,https://www.skinnytaste.com/skinny-chicken-tikka-masala/,1,https://www.skinnytaste.com/wp-content/uploads/2011/06/Chicken-Tikka-Masala-15-260x390.jpg,249,"This easy Chicken Tikka Masala is made with tender chunks of boneless chicken breasts cooked in an aromatic, creamy yogurt-tomato sauce.",,GF,,,,HP,,,MP,Q,,,
5,"Red, White and Blueberry Cheesecake Cupcakes",https://www.skinnytaste.com/red-white-and-blueberry-cheesecake/,5,https://www.skinnytaste.com/wp-content/uploads/2019/05/Red-White-and-Blue-Cheesecake-Cupcakes-5-260x390.jpg,98,"Easy Cheesecake cupcakes made with cream cheese, Greek yogurt with a vanilla wafer crust topped with strawberries and blueberries.",,,,,,,,,,,V,,
6,25 Summer Side Dishes,https://www.skinnytaste.com/perfect-summer-sides/, ,https://www.skinnytaste.com/wp-content/uploads/2023/06/Veggie-Kabobs-7-260x390.jpg, ,"Keep it light and fresh with these easy summer side dishes. Made with seasonal ingredients, these sides are colorful, flavorful, and perfect for hot summer days!",,,,,,,,,,,,,
7,Nicoise Salad,https://www.skinnytaste.com/nicoise-salad/,5,https://www.skinnytaste.com/wp-content/uploads/2024/05/Salmon-Nicoise-Salad-5-260x390.jpg,494,"I used salmon in place of tuna in this variation of the classic French Niçoise salad! This composed salad contains olives, artichokes, potatoes, green beans, and a whole-grain mustard vinaigrette.",DF,GF,,,HF,HP,,,MP,,,W,
8,Slow Cooker Pulled Pork,https://www.skinnytaste.com/slow-cooker-pulled-pork/,7,https://www.skinnytaste.com/wp-content/uploads/2023/06/pulled-pork-06-260x390.jpg,203,"This easy, “set it and forget it” Slow Cooker Pulled Pork comes out so tender and juicy, made from scratch with my homemade BBQ sauce.",DF,GF,,,,,KF,,,,,,SC
9,Greek Orzo Salad,https://www.skinnytaste.com/greek-orzo-salad/,5,https://www.skinnytaste.com/wp-content/uploads/2024/05/Greek-Orzo-Salad-8-260x390.jpg,173,This Greek Orzo Salad recipe is a light and flavorful pasta salad that’s delicious as a side dish or main dish. It’d be perfect with anything you’re grilling this summer!,,,,,,,,,MP,Q,V,,
10,Coconut Chicken Rice Bowl,https://www.skinnytaste.com/coconut-chicken-rice-bowl/,8,https://www.skinnytaste.com/wp-content/uploads/2024/05/Coconut-Chicken-Rice-Bowls-12-260x390.jpg,429,"This quick and easy high-protein Coconut Chicken Rice Bowl is perfect for lunch or dinner for my gluten-free, dairy-free friends!",DF,GF,,,,HP,,,MP,Q,,,
11,Fish en Papillote,https://www.skinnytaste.com/fish-en-papillote/,3,https://www.skinnytaste.com/wp-content/uploads/2024/05/Branzino-Parchment-Packets-7-260x390.jpg,383,"Mediterranean baked Fish en Papillote topped with a beans, Castelvetrano olives, artichoke hearts, cherry tomatoes, and fresh herbs.",DF,GF,,,HF,HP,,,,,,,
12,Eton Mess,https://www.skinnytaste.com/strawberry-eton-mess/,6,https://www.skinnytaste.com/wp-content/uploads/2024/05/Eton-Mess-10-260x390.jpg,109,"Eton Mess is a classic British dessert made with berries (I used strawberries), whipped cream, and crushed vanilla meringue cookies. You can assemble it in one large bowl or layer it in individual glasses.",,,,,,,KF,,,Q,,,
13,Thai Fried Rice,https://www.skinnytaste.com/thai-fried-rice-575-pts/,7,https://www.skinnytaste.com/wp-content/uploads/2008/09/Thai-Fried-Rice-12-260x390.jpg,347,"Thai fried rice gets it’s unique flavor from jasmine rice, fish sauce, soy sauce and chili peppers. Use your favorite protein like chicken, shrimp, or tofu.",DF,GF,,,,HP,,,,Q,,,
14,35 Perfect Last-Minute Mother’s Day Gifts That She Will Love,https://www.skinnytaste.com/best-mothers-day-gifts-2024/, ,https://www.skinnytaste.com/wp-content/uploads/2024/04/Brightland-Essentials-260x390.jpg, ,"Choosing something special for your mom for Mother’s Day can be a bit challenging. She seems to have it all, but there’s always something special you can still get her! That’s why I’ve rounded up the best Mother’s Day gifts that I would even love to receive myself this year, including some of my favorite cooking tools and fashion and beauty products.",,,,,,,,,,,,,
